,yelp_id,yelp_name,yelp_review_count,yelp_rating,yelp_address,latitude,longitude,citibike_id
139,,,,,,49.257985,49.257985,d02e2eaafda91425eddd24d8acd328ab
140,,,,,,49.257939,49.257939,08c7a90bf297fde8c1f1156db13987d4
141,,,,,,49.256496,49.256496,97005696a3dff3366a8410b817388990
142,,,,,,49.283236,49.283236,c52e51e3288a00993bdf892fdc2c2c2c
143,,,,,,49.267266,49.267266,7d231a181d21056e4ba80c4d9939fe92
144,,,,,,49.265242,49.265242,dcf3d5c9f1b3a46f0ef2eb2247931f89
145,,,,,,49.265213,49.265213,9bee3167f10c884044cea0d36afcd1ef
146,,,,,,49.302577,49.302577,45a4c865db23e1cad0209afa5a799de0
147,,,,,,49.277595,49.277595,fe0c57d04d6e682d284d501446095fc9
148,,,,,,49.279235,49.279235,b10d422b045805f1c350c47c983381e8
149,,,,,,49.277333,49.277333,4e8fdc99e77ba1b70d90e124a704d0c1
150,,,,,,49.273103,49.273103,b562f08327af465e4531e20226789489
151,,,,,,49.261973,49.261973,4ac99b928a91d8ccb785c9d0b805adb6
152,,,,,,49.275295,49.275295,99c81f71db35911c79a86a1c5edc5604
153,,,,,,49.285871,49.285871,e12234b6f1299d178f34bffaca92f043
154,,,,,,49.284893,49.284893,5a34495280727a5b50b9aa41e14e9a16
155,,,,,,49.263962,49.263962,9130f9aa3bb037a04c17e6f2630327e5
156,,,,,,49.277615,49.277615,9a48ca226f82f52d02707b054ebc7e9e
157,,,,,,49.282214,49.282214,b3bb9f58d3530d33a1a09b6be9e973e0
158,,,,,,49.266456,49.266456,c2f4e05c01ea0d27934ac7dbc50cbd0c
159,,,,,,49.268216,49.268216,9a5478470b56379c31cf4e671584d5cc
160,,,,,,49.284554,49.284554,257715b845828e027ff35dd0f11c971e
161,,,,,,49.280216,49.280216,910027847876403b57f1013c16504688
162,,,,,,49.266314,49.266314,06487275cd19694152824c7c3088e8ff
163,,,,,,49.280852,49.280852,b428c0e64d9b9fdb3bf8e85c95ffdf6b
164,,,,,,49.285512,49.285512,d085c6749a32517e1fb0d070e4128402
